DIH Name;Location;City;Country;Website;NUTS2 Code ;NUTS2 Name 
Bioindustry Park Silvano Fumero SpA  - bioPmed innovation cluster;Via Ribes, 5;Colleretto Giacosa;Italy;http://www.bioindustrypark.eu;ITC1;Piemonte
BioNanoNet ForschungsGmbH, BNN;Steyrergasse 17;Graz;Austria;http://www.bionanonet.at;AT22;Steiermark
Biorizon;Leeghwaterstraat 44;Delft;Netherlands;http://www.biorizon.eu/;NL33;Zuid-Holland
BioSense Institute - Institute for research and development of information technology in biosystems;BioSense Institute Dr Zorana Djindjica 1;Novi Sad;Serbia;http://biosense.rs/;;
BI-REX - BIG DATA INNOVATION & RESEARCH EXCELLENCE;VIA PAOLO NANNI COSTA 14;BOLOGNA;Italy;https://bi-rex.it/;ITH5;Emilia-Romagna
Blockchain for Trusted Data Ecosystems;Večna pot 113;Ljubljana;Slovenia;https://datatrust.fri.uni-lj.si/;SI04;Zahodna Slovenija
Blockchain Havenbedrijf Rotterdam;Stationsplein, 45;Rotterdam;Netherlands;http://blocklab.nl/;NL33;Zuid-Holland
Blue Science Park;Campus Gräsvik 2;Karlskrona;Sweden;https://www.bluesciencepark.se;SE22;Sydsverige
BlueDIH;Ulica Antuna Gustava Matoša 56;Split;Croatia;https://www.bluedih.com;HR03;Jadranska Hrvatska
BlueHealth Innovation Center suported by Microsoft (BHIC);C-mine, 12;Genk;Belgium;http://www.micvlaanderen.be/;BE22;Prov. Limburg (BE)
BME-EET;Infopark, Magyar tudósok körútja 2, Building Q, section B, 3rd floor;Budapest;Hungary;https://dih.eet.bme.hu/;HU10;Közép-Magyarország (NUTS 2013)
BONEVET;Str. Vëllezerit Frashëri Gjakovë 50000;Prishtina;Kosovo;http://www.bonevet.org/;;
BOOST Smart Industry Hub, East-Netherlands;Laan van Malkenschoten 40;Apeldoorn;Netherlands;https://smartindustryoost.nl;NL22;Gelderland
Booster SPACE4EARTH;Avenue Louis Philibert;Aix en Provence;France;https://www.safecluster.com/booster-space4earth/;FR82;Provence-Alpes-Côte d'Azur (NUTS 2013)
Bottega 4.0 Digital Innovation Hub;Via Gen. Luigi Parisi 42;Cava de’ Tirreni;Italy;https://www.bottega40.it;ITF3;Campania
BOWI - UWB;UNIVERZITNI 8;PILSEN;Czech Republic;https://bowi-network.eu/;CZ03;Jihozápad
Brainport Industries Campus - Factory of the Future;BIC1;Eindhoven;Netherlands;https://www.brainportindustriescampus.com/en;NL41;Noord-Brabant
BrainsBusiness ICT North Denmark;Niels Jernes Vej 10;Aalborg;Denmark;http://www.brainsbusiness.dk/;DK05;Nordjylland
BRANDENBURGISCHE TECHNISCHE UNIVERSITAT COTTBUS-SENFTENBERG;PLATZ DER DEUTSCHEN EINHEIT 1;COTTBUS;Germany;;DE40;Brandenburg
Bridgeway Europe Startup Accelerator, Bridgeway Accelerator;Otona Župančiča 42;Novi Beograd;Serbia;https://www.bridgeway.company/;;
Brightlands Materials Center;Urmonderbaan 22;Geleen;Netherlands;https://www.brightlandsmaterialscenter.com;NL42;Limburg (NL)
Brightlands Smart Services Campus;Smedestraat 2;Heerlen;Netherlands;https://brightlands.com/en/brightlands-smart-services-campus/brightlands-smart-services-campus-smes;NL42;Limburg (NL)
Bristol Robotics Laboratory’s RIF;Frenchay Campus, Coldharbour Lane, Stoke Gifford;Bristol;United Kingdom;http://echord.eu/the-bristol-rif/;UKK1;Gloucestershire, Wiltshire and Bristol/Bath area
Bron Innovation;Storgatan 73;Sundsvall;Sweden;https://www.broninnovation.se;SE32;Mellersta Norrland
BruBotics: Brussels Human Robotics Research Center (VUB);Pleinlaan 2;Brussels;Belgium;https://www.brubotics.eu/;BE10;Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest
Brussels Creative;Louise lane 500;Brussels;Belgium;http://www.brusselscreative.be/;BE10;Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest
Bulgarian Innovation and Technology Hub - DigiTecH 4.0;133 Tsarigradsko Shosse blvd.;Sofia;Bulgaria;http://industry4bg.eu/;BG41;Yugozapaden
Business incubator PISMO;Luke Ilića Oriovčanina square 8;Novska;Croatia;http://inkubator-pismo.eu/en/digital-inovation-hub/;HR04;Kontinentalna Hrvatska
Business Intelligence & Innovation;Hochschulstraße 1;Dornbirn;Austria;https://biih.labs.fhv.at;AT34;Vorarlberg
Business Technology Incubator of Technical Faculties Belgrade (BITF);54, Veljka Dugosevica;Belgrade;Serbia;https://ntpark.rs/bitf-dih/;;
Campania Digital Innovation Hub;Piazza dei Martiri, 58;Napoli;Italy;http://www.campaniadih.it/;ITF3;Campania
CAMPUS 02 R&D Section;CAMPUS 02 University of Applied Sciences, Körblergasse 126;Graz;Austria;https://en.campus02.at/rd/;AT22;Steiermark
Canary Island Digital Innovation Hub (CIDIHub);Santiago Cuadrado, 30;Santa Cruz de Tenerife;Spain;http://www.avantalia.net/dih_canarias.html;ES70;Canarias (ES)
Cap Digital;14 rue Alexandre Parodi;Paris;France;http://www.capdigital.com/;FR10;Île de France
Catalonia AI DIH;Carrer de Bilbao, 72 A Building;Barcelona;Spain;https://www.bigdatabcn.com/en/catalonia-ai-dih/;ES51;Cataluña
Catalonia Digital Innovation Hub (DIH4CAT);Paseo de Gracia 129, 08008 Barcelona, Cataluña;Barcelona;Spain;https://dih4cat.cat/;ES51;Cataluña
CCI/Quai Alpha;1, Place du General de Gaulle;Epinal;France;https://www.quai-alpha.com/digital-innovation-hub/;FR41;Lorraine (NUTS 2013)
CDP - Center for Digital Production;Seestadtstrasse 27/10;Wien;Austria;https://www.acdp.at;AT13;Wien
CEA Leti Health;Avenue des Martyrs 17;Grenoble;France;http://www.cea-tech.fr/cea-tech/english/Pages/application-sectors/human-health-and-environment-thematic.aspx;FR71;Rhône-Alpes (NUTS 2013)
CEA LITEN Advanced Materials for Energy Hub;17 Avenue des Martyrs;Grenoble;France;http://liten.cea.fr/cea-tech/liten;FR71;Rhône-Alpes (NUTS 2013)
CeADAR: Ireland's Centre for Applied AI;Belfield Office Park, Unit9;Dublin;Ireland;https://www.ceadar.ie/;IE02;Southern and Eastern (NUTS 2013)
CEFRIEL SOCIETA CONSORTILE A RESPONSABILITA LIMITATA;VIA RENATO FUCINI  2;MILANO;Italy;;ITC4;Lombardia
Center Denmark;Kokbjerg 30;Kolding;Denmark;https://www.centerdenmark.com/;DK03;Syddanmark
Center Digitisation District Böblingen (ZD.BB);Danziger Straße 6;Böblingen;Germany;https://www.zd-bb.de;DE11;Stuttgart
Center Digitisation.Bavaria, ZD.B;Lichtenbergstr. 8;Garching;Germany;https://zentrum-digitalisierung.bayern;DE21;Oberbayern
Center for Technology Transfer and Innovations - INNOFEIT;Rugjer Boskovic 18;Skopje;North Macedonia;http://inno.feit.ukim.edu.mk/;MK00;Poranesna jugoslovenska Republika Makedonija
Central Macedonia Digital Innovation Hub on Agrofood;Dioikitirio;Thessaloniki;Greece;http://www.thessinnozone.gr/;EL52;Kentriki Makedonia
Centre de recherche en aéronautique ASBL, Cenaero;Rue des Frères Wright 29;Gosselies;Belgium;http://www.cenaero.be/;BE32;Prov. Hainaut
Centre d'Innovació i Tecnologia de la UPC (CIT UPC);Jordi Girona 31;Barcelona;Spain;https://cit.upc.edu/en;ES51;Cataluña
Centre for Advanced Manufacturing Technologies, Wroclaw University of Science and Technology;Lukasiewicza 5 street;Wroclaw;Poland;http://www.camt.pl/index.php/en/home-en/;PL51;Dolnoslaskie
Centre for Lightweight Structures;PO Box 153;EMMELOORD;Netherlands;https://www.nlr.nl/;NL21;Overijssel
CENTRE FOR RESEARCH AND TECHNOLOGY HELLAS;6th km Harilaou - Thermi Rd;Thermi - Thessaloniki;Greece;https://www.certh.gr/;EL52;Kentriki Makedonia
Centre Val de Loire Digital Innovation Hub;6, rue du Carbone;ORLEANS;France;https://www.devup-centrevaldeloire.fr/dih;FR24;Centre (FR) (NUTS 2013)
Centre 4.0 Igor Sikorsky Kyiv Polytechnic Institute;37, Prosp. Peremohy;Kyiv;Ukraine;https://kpi.ua/;;
Centro Nacional de Tecnología de Riegos (CENTER);"Camino de la Vega s/n ;  28830 San Fernando de Henares (Madrid)";San Fernando de Henares (Madrid);Spain;http://www.mapama.gob.es/es/desarrollo-rural/temas/centro-nacional-tecnologia-regadios/;ES30;Comunidad de Madrid
CETMA - Technologies Design and Materials European Research Centre;S.S.7 Km.706 + 030, 72100 Brindisi;BRINDISI;Italy;http://www.cetma.it/;ITF4;Puglia
Cicero DIH Lazio;Via Andrea Noale, 206;Roma;Italy;http://cicero.italian-dih.eu;ITI4;Lazio
Cineca Consorzio Interuniversitario;VIA MAGNANELLI, 6/3;CASALECCHIO DI RENO BO;Italy;https://www.cineca.it/;ITH5;Emilia-Romagna
CITC-EuraRFID;165 avenue de Bretagne;Lille;France;http://www.iotcluster.fr;FR30;Nord - Pas-de-Calais (NUTS 2013)
CiTyInnoHub;Bd. Mamaia, nr. 124;Constanta;Romania;http://cityinnohub.univ-ovidius.ro/;RO22;Sud-Est
CityLab Brainport Eindhoven;Lardinoisstraat 10;Eindhoven;Netherlands;https://citylabacademy.nl/;NL41;Noord-Brabant
Cluj IT Cluster;Dorobantilor Street, 57A;Cluj-Napoca;Romania;http://www.clujit.ro/;RO11;Nord-Vest
Cluster ICT, media and creative industries Berlin-Brandenburg;Fasanenstr. 85;Berlin;Germany;http://digital-bb.de/en/home;DE30;Berlin
Cluster of Sustainable Building of Andalusia;Calle Angustias 99;Padul;Spain;http://clustercsa.com/;ES61;Andalucía
CNA Emilia Romagna - CNA HUB 4.0;Via Rimini 7;Bologna;Italy;https://www.cnaemiliaromagna.it/en/cna-hub-4-0/;ITH5;Emilia-Romagna
ComoNExT Innovation Hub;Via Cavour 2;Lomazzo;Italy;https://www.comonext.it/;ITC4;Lombardia
Competence Centre Mittelstand 4.0 Berlin;Potsdamer Straße 7, Potsdamer Platz;Berlin;Germany;https://gemeinsam-digital.de/;DE30;Berlin
Compound Semiconductor Applications Catapult;Caspian PointOne, Pierhead Street;Cardiff;United Kingdom;https://csa.catapult.org.uk;UKL2;East Wales
Confapi Digital Innovation Hub;Via della Colonna Antonina 52;Rome;Italy;https://www.confapi.org/it/digital-innovation-hub-confapi.html;ITI4;Lazio
Confirm | Research Centre for Smart Manufacturing;University of Limerick, Limerick, Republic of Ireland.;Limerick;Ireland;https://confirm.ie/dih/;IE02;Southern and Eastern (NUTS 2013)
Connected Mobility Hub;C/ Piamonte, 23. 28004, Madrid;Madrid;Spain;https://connectedmobilityhub.com/;ES30;Comunidad de Madrid
Connectwave;5 avenue de Maneou;Rousset;France;http://www.centrenational-rfid.com/;FR82;Provence-Alpes-Côte d'Azur (NUTS 2013)
CONNECT5;Edifício Central, PCI · Creative Science Park Aveiro Region, Via do Conhecimento;ilhavo;Portugal;https://www.connect5.pt;PT16;Centro (PT)
CONSORZIO INTELLIMECH;VIA CAMOZZI 70;BERGAMO;Italy;;ITC4;Lombardia
Copenhagen Fintech;Applebys Pl., 7;Copenhagen;Denmark;http://copenhagenfintech.dk/;DK01;Hovedstaden
CP Lab Newcastle;USB 1 Science Square;Newcastle Unpon Tyne;United Kingdom;https://research.ncl.ac.uk/cplab/;UKC2;Northumberland and Tyne and Wear
CPI;The Neville Hamlin Building, Thomas Wright Way;Sedgefield;United Kingdom;https://www.uk-cpi.com/;UKC1;Tees Valley and Durham
Cranfield University Digital Innovation Hub;316, Conway House, Cranfield University, Cranfield;Bedford;United Kingdom;https://www.cranfield.ac.uk/digitalinnovationhub;UKH2;Bedfordshire and Hertfordshire
C.R.E.A.T.E. Consorzio di Ricerca per l'Energia, l'Automazione e le Tecnologie dell'Elettromagnetismo;Via Claudio 21;Napoli;Italy;https://www.create.unina.it;ITF3;Campania
CREATE-NET (CENTER FOR RESEARCH AND TELECOMMUNICATION EXPERIMENTATION FOR NETWORKED COMMUNITIES);VIA ALLA CASCATA 56 D;TRENTO;Italy;;ITH2;Provincia Autonoma di Trento
CROBOHUB Croatian Robotics Digital Innovation Hub;Unska 3;Zagreb;Croatia;http://www.icent.hr/en/crobohub/;HR04;Kontinentalna Hrvatska
CroTechHub;Bukovačka cesta 105;Zagreb;Croatia;http://crotechhub.com;HR04;Kontinentalna Hrvatska
Cybermate - Your Digital Innovation Hub;Via Giovanni Porzio 14/15, Is. G2;Naples;Italy;https://www.cybermate.org/en/;ITF3;Campania
CYBERSEC HUB;Feldmana, 4/9-1;"Krak&#243;w";Poland;http://cybersechub.eu/;PL21;Malopolskie
CybersecRDI: Cybersecurity Research, Development and Innovation Hub;Unska 3;Zagreb;Croatia;http://www.icent.hr/en/CybersecRDI/;HR04;Kontinentalna Hrvatska
Cybersecurity Innovation HUB;Avenida Jóse Aguado, 41.;León;Spain;https://www.cyberdih.com/;ES41;Castilla y León
Cybersecurity innovation hub (DIH – CZ);Šumavská 15;Brno;Czech Republic;http://www.cybersecuritydih.cz;CZ06;Jihovýchod
Cyprus Digital Innovation Hub;28th Octovriou Avenue, Engomi, 72;Nicosia;Cyprus;https://www.cyric.eu/cydi_hub/;CY00;Kypros
Cyprus University of Technology Robotics, Control, and Decision Systems DIH (RCDS - DIH);45 Kitiou Kyprianou Street;Limassol;Cyprus;https://www.rcdslab.org;CY00;Kypros
Czech Institute of Informatics, Robotics, and Cybernetics;Jugoslávských partyzánů 1580/3;Praha 6;Czech Republic;https://www.ciirc.cvut.cz/;CZ01;Praha
Danish Technological Institute, Robot Technology;Forskerparken 10F;Odense;Denmark;https://www.dti.dk/robot;DK03;Syddanmark
Dansk Produktions Univers;Vejlevej 21,;Hedensted;Denmark;http://www.danskproduktionsunivers.dk/;DK04;Midtjylland
Danube Digital Innovation Hub;Bd Galati nr 3;Galati;Romania;https://danubedih.ro/;RO22;Sud-Est
Data Market Austria (DMA);Leopoldskronstraße 30;Salzburg;Austria;http://datamarket.at;AT32;Salzburg
Data Science and Artificial Intelligence (DASAI);Daniel Saucedo Aranda, s/n, 18071, Granada (Spain);Granada;Spain;https://dasciihub.dasci.es/;ES61;Andalucía
DATAlife;Edif. Emprendia, Campus Vida, S/N, USC;Santiago de Compostela;Spain;http://dihdatalife.com/;ES11;Galicia
Deli - Space for creative activity;Davidova 2a;"Ni&#353;";Serbia;http://deli.rs;;
Demola-Budapest;Egry Jozsef utca 18;Budapest;Hungary;https://budapest.demola.net/;HU10;Közép-Magyarország (NUTS 2013)
DEX Innovation Centre DIH;Rumjancevova 696/3;Liberec;Czech Republic;https://dex-ic.com/;;
DFKI Human Centric AI Innovation Hub;Trippstadter Str. 122;Kaiserslautern;Germany;https://www.dfki.de/en/web/;DEB3;Rheinhessen-Pfalz
DIATOMIC Health;Rua Pedro Nunes, Coimbra;Coimbra;Portugal;https://diatomic.eu/DiatomicPortal/#/app-h/dihs?dihId=2;PT16;Centro (PT)
DIEX - Digital Experience;Via Casabianca, 3;San Vito al Tagliamento;Italy;http://www.diex.it;ITH4;Friuli-Venezia Giulia
DigiCenterNS;Microkatu 1, Kuopio;Kuopio;Finland;https://www.digicenterns.fi/en/home/;FI1D;Pohjois- ja Itä-Suomi
DIGIHALL;Centre d'Intégration Nano Innov, 8 Avenue de la Vauve, 91127 Palaiseau Cedex;Palaiseau;France;http://www.digihall.fr;FR10;Île de France
Dig-I-Hub Kecskemét;Izsáki út 8.;Kecskemét;Hungary;http://iqkecskemet.hu/dih-kecskemet/;HU33;Dél-Alföld
DIGIMAT: South Moravian Digital Manufacturing Hub;Blanenská 1288/27;Kuřim;Czech Republic;http://www.dih-digimat.cz;CZ06;Jihovýchod
DIGIPARC - Digital Partnership Centre;Trg Riječke rezolucije 4;Rijeka;Croatia;https://dih.par.hr/;HR03;Jadranska Hrvatska
DIGIS3 - Smart, Sustainable and coheSive Digitalization;Plaza del Ayuntamiento 1;Carbajosa de la Sagrada;Spain;https://digis3.eu/en;ES41;Castilla y León
DigIT Hub Sweden;Mobilvägen 10;Lund;Sweden;https://mobileheights.org/european-digital-innovation-hub-skane-edih-skane/;SE22;Sydsverige
Digital Catapult;101 Euston Road;London;United Kingdom;https://www.digitalcatapultcentre.org.uk;UKI3;Inner London - West
Digital Farming Hub;PARQUE DE GARDENY,  EDIFICIO H3;Lleida;Spain;http://digitalfarm.femac.org/index.php/en/home/;ES51;Cataluña
Digital Health & Care Institute;1st Floor, Suite B, Inovo Building, 121 George Street, Glasgow;Glasgow;United Kingdom;http://www.dhi-scotland.com;UKM3;South Western Scotland (NUTS 2013)
Digital Health-Biosciences (DIH·bio);Trimodular-Zenit Building, Street.  Nicolás Cabrera, nº 7 – 28049 Madrid;Madrid;Spain;https://www.knode.eu/en/dihbio;ES30;Comunidad de Madrid
Digital Hub Bonn;Rheinwerkallee 6;Bonn;Germany;http://www.digitalhub.de;DEA2;Köln
Digital Hub Logistics;Emil-Figge-Str. 76;Dortmund;Germany;http://www.digitalhublogistics.com;DEA5;Arnsberg
Digital Impulse Hub;Blasco de Garay, 29-49;Terrassa;Spain;https://digitalimpulsehub.eu;;
Digital Innovation Hub Basilicata;Via di Giura;Potenza;Italy;http://www.confindustria.basilicata.it/;ITF5;Basilicata
DIGITAL INNOVATION HUB BELLUNO DOLOMITI;Via Cristoforo Colombo, 11;FELTRE;Italy;https://digitalhub.belluno.it/;ITH3;Veneto
Digital Innovation Hub (DIH) West;Ing.-Etzel-Straße 17;Innsbruck;Austria;https://dih-west.at/;AT33;Tirol
Digital Innovation Hub Emilia-Romagna;Via Barberia 13, 40123 Bologna (Italy);Bologna;Italy;https://cerr.eu/en/projects/dih-er;ITH5;Emilia-Romagna
Digital Innovation Hub for AI and Cybersecurity (DIH4AISec);Appelstr. 9a;Hannover;Germany;https://www.l3s.de/en/innovation/hub;DE92;Hannover
Digital Innovation Hub for Smart Manufacturing;Plese, 9a;Murska Sobota;Slovenia;http://www.p-tech.si;SI03;Vzhodna Slovenija
